﻿key,source,target
/0009976F4EA6E05D7C0184AFABAE4671,Art Lead,艺术主管
/001EFF4241704C3A42107DA9EA407818,03_Environment_K,03_环境_K
/002BC1E94A29DB3757BE8787959C0650,XXX DEPRICATED,XXX 已弃用
/002C6098486D45F6955DD782343EEC6A,Zipline drop open walls,滑索垂落敞开的墙壁
/003600D94AAA59A0A889F690014FDE9B,Climb Handles,攀爬把手
/0079D5E941F82E71D9FB2EB50101BDAE,MI_Decal_Diffuse,MI_贴花_漫反射
/00A046074D1269F077316FA9D4273C7B,Power Up Machine Stations via Hand Scanners (1/3),通过手掌扫描仪启动机器站点(1/3)
/00A14B444021893711F3369CB1F04F54,LS_Yarnaby_Death,LS_亚娜比_死亡
/010DF1734AC085B7AEEBC19E99CF54E9,Testing whether Profiler Cam functions within Sequencer,测试分析工具摄像机是否在序列器中起作用
/0110AF414EAF50F129A05EA49CCCBFC0,SUCCESS,成功
/011817784D3132C5FECB8E962C0C0F2C,03_Environment_S1,03_环境_S1
/015A08D44C20240B4AA6468CA4FABA1E,4,
/0163A4E84195F5C68FB97CBC639BA7F6,07_Environment_A2,07_环境_A2
/017A3A274E593B61C1C63A9D9890ADE4,Escape the Foundation,逃离地基
/01BDE35C42F54F7C4D55F19C5CFB6EBC,ScreenSpaceFogScatter_Test01,屏幕空间雾气散射_测试01
/01CB3DEA42BE266AA00AAA87AB71E866,Cole Journal: Entry #1,科尔日志:第 #1 条
/0279568B4B8EDBCDC5790688F0EA27D4,LS_PlayLevel2Music,LS_播放第二层音乐
/027D44E342EB1FAD586A09BF9B84E20D,Option 1,选项1
/029510744AE2CAF269EAE1A38D4608DC,This terminal unlocks the upper catwalk doors for both the north and south autopsy rooms. The doors should not actually open until the player approaches them.,该终端解锁南北解剖室上方的通道门。在玩家靠近它们之前，这些门实际上不应打开。
/02AB577445462F5757E8B1ACEB07ABFA,Radial Wheel,径向轮
/02CD55D64A57E7ACF8A60782589903BE,Checkpoint,检查点
/02D5441F46078D1A375B0CB56EDE9D34,Gas explosion testing,气体爆炸测试
/02DB1ECE44592DCB6BFE73BB7FE38806,Objective 14 Marker,目标14标记
/02E6C52140B78B486EB201801605CD06,Time,时间
/02EB0515407C28A6DEC389B98C60C6E7,Experiment #0032,实验#0032
/02F283594C1F5E2A1C2F67B8D25F09CE,Explosive,爆炸性的
/030F96D64A8F1A58B6C3D0BADEB23ABD,Experiment #1354,实验#1354
/0361BBB445CE1E633994C5AADDA821FB,DISPLAY,显示
/036DF78843632F8C21286B9E01733048,827,
/0391696243705476AD0737B20AD9DA7C,BACK,返回
/03A3E83C41E35312F6CF3086B826A407,2,
/03A6F4264BF2F4940056789370008A8D,Protector,保护者
/03AE70B84720FDC4B71260959E1B6118,"The Doctor will shock this handle so players fall mid swing in a level sequence. When they hit the ground, they should see the VSC3 door close and lock. The STC slide door should then slide open and let the nightmare critter out. The VSC3 door should not unlock until players have successfully trapped the critter in its STC cell again.",博士将对这个把手放电，使得玩家在关卡摆动过程中掉落。当他们落地时，应该看到VSC3门关闭并锁定。STC滑动门将会打开，放出那只噩梦般的生物。在玩家们成功将该生物重新困在它的STC牢房之前，VSC3门不会解锁。
/03C136E74D9A85B1B795018846873ADE,Back,返回
/03CAD31A47243A3C14296EA1861F52D5,Invalid SaveGame File,无效存档文件
/03CFEF6445A3A6A51510E0A4A484843A,None,无
/03D762D043AE9275A563B9825B658FBF,Toy #3,玩具 #3
/03E58CBD40908660B38A3987A11911EC,"Please, we can't do this alone anymore. ",求求你们，我们不能再独自应对这个了。
/042EE1D94B458F852DCBD6AF35FBF551,"Keycard
Placeholder","Keycard
Placeholder"
/0434E11A4684749033D911B40B921323,Restore Default Settings,恢复默认设置
/044D7C6546185B0627ACB6B248B5D9BB,Deactive,停用
/045FAE3142B7AB365D992FB06CD49A27,RESTART CHECKPOINT,重新载入检查点
/046DCA6B40E596188DBD508330BDD02E,Edition,版本
/04806F064A61CA64CD7F30810AFBB63C,"UNCHANGED
455 cm","未改变
455厘米"
/04896F944FF59BE3E78B81A8919CBFDC,Visit 2 Checkpoint,访问2检查点
/04A7CD54425A4A0EC193DF8BD92FB4E8,Drop Carriable Item - Right Hand,丢弃可携带物品 - 右手
/04C1E4254293CFA704556DA25E81BF16,Doey steals the lever as Player enters Pit,当玩家进入坑时，多伊偷走了控制杆
/04CFA2144F752BD24FE6D78452701C48,Reset Position,重置位置
/04EAD15540D6E982F712AF88D1C85B93,Electric Sparks,电火花
/04EBCB194658EF92C351C285BD24B836,door trigger here,此处门触发器
/0500EAB840B1938517FE77B8D66BDE72,Keypad,键盘
/05045EC54563F041A85B118B0E3DC09F,"Accelerant
Mixer
B","加速剂
混合器
B"
/050991234600B034E928D1B6D42D5A6B,01_Environment_A,01_环境_A
/050FBD4E4BF2D3ECE936109D283462E2,85,
/051133F74B4A71456E50B1A3A88AD039,"Storage
Tank","储存罐
Tank"
/0523608E4041B0C765946D8F5E26BD91,IndustrialConcreteMix,工业混凝土混合
/0529F18847903C948EF9AAB0E0786EFD,A Level Sequence here will trigger a cave-in behind the player which will prevent backtracking. The only way out of the level at this point will be via the elevator which will take them back to the entry side of the cave-in.,此处的关卡序列将触发玩家身后的塌方，阻止其原路返回。此时，离开关卡的唯一方法就是通过电梯，这将带他们回到塌方位置的入口一侧。
/0542A8E6437574078343B5A6D0048E49,Lead Environment Artist,首席环境美术师
/0556D9524742EA9F417439A57484D04E,Shock Room Manager,电击室经理
/05695D874D500D17CF94C5B8723AA7AF,Logo fade-in duration,标志淡入持续时间
/057866B94EEEEFAB66BB259A66C89DF4,VFX Actor,视觉特效执行者
/057F9D474E8039B4D9EE8693A0FC1000,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc vestibulum fringilla ullamcorper. In pretium urna non laoreet placerat. Suspendisse potenti. Duis interdum ipsum eget enim malesuada ornare. Fusce cursus dictum diam eget euismod. Nulla ac metus aliquam, tincidunt ante non, pulvinar arcu. Donec vel pretium ipsum. Sed hendrerit consequat urna, vel rutrum quam mollis a. Vivamus scelerisque ullamcorper nunc a scelerisque. Mauris eu placerat metus.

Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc vestibulum fringilla ullamcorper. In pretium urna non laoreet placerat. Suspendisse potenti. Duis interdum ipsum eget enim malesuada ornare. Fusce cursus dictum diam eget euismod. Nulla ac metus aliquam, tincidunt ante non, pulvinar arcu. Donec vel pretium ipsum. Sed hendrerit consequat urna, vel rutrum quam mollis a. Vivamus scelerisque ullamcorper nunc a scelerisque. Mauris eu placerat metus.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc vestibulum fringilla ullamcorper. In pretium urna non laoreet placerat. Suspendisse potenti. Duis interdum ipsum eget enim malesuada ornare. Fusce cursus dictum diam eget euismod. Nulla ac metus aliquam, tincidunt ante non, pulvinar arcu. Donec vel pretium ipsum. Sed hendrerit consequat urna, vel rutrum quam mollis a. Vivamus scelerisque ullamcorper nunc a scelerisque. Mauris eu placerat metus.

Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc vestibulum fringilla ullamcorper. In pretium urna non laoreet placerat. Suspendisse potenti. Duis interdum ipsum eget enim malesuada ornare. Fusce cursus dictum diam eget euismod. Nulla ac metus aliquam, tincidunt ante non, pulvinar arcu. Donec vel pretium ipsum. Sed hendrerit consequat urna, vel rutrum quam mollis a. Vivamus scelerisque ullamcorper nunc a scelerisque. Mauris eu placerat metus."
/05924E1B4DEB9B77C43AD394EDB53034,VFX Actor,视觉特效执行者
/059B7D3949C30FBE804FD3895149FA7F,"Liquid
Nitrogen",液氮
/05A7CB42495D405871C66FB2EB372E41,"A piece of what seems to be a hand-made toy, lovingly detailed and carefully crafted",一块看似手工玩具的碎片，精心细致且制作精良
/05C668714572F8C2D150E3B401EA52CC,KeyItems,关键物品
/05E37CC648AC64510F01BA9D26E605D2,LS_DoctorHeadquartersIntro,LS_博士总部引入
/05EF1A4044F14E7F71028287586136A6,Full Level,全关卡
/06014F7E41A66D6BD7365D913260BE32,14_Environment_A2,14_环境_A2
/06273C85464E97A791273BB8AA709CEA,An overview of Matthew Hallard in accordance with Project: Doey,根据项目:多伊对Matthew Hallard的概述
/06294BE24F633A1BEDA396A38B66C54C,SteamDeck,SteamDeck
/0647605240D4F9093200FFA799945F93,Characters,角色
/0659486A45D5B8FB390FCF9AA3C9135B,Parents are reunited with their son,父母和儿子重聚
/066D14CF4AE41B0F981E02949BDB7F64,OPEN 3D WIDGET LEVEL,打开 3D 控件界面
/0680F4064F2732326B6FED9ABE09BD20,Playtime.Objectives.Objective14,游戏时间.目标.目标14
/06E5B1094418D190CDA992AA74FF70A2,"MALE
AUTOPSY","男性
尸检"
/071C9DDC4C8ADE5B583A029B86BD61BE,Is,是
/0731A6B84A1B5CC54C20E6A01F10F94E,Full Level,全关卡
/073BF0C545451B575A24A6887A72119C,Technical Design Team,技术设计团队
/0752CC854E6F890AB8E23789083796BF,Dirty,脏的
/0756162A49D229A01624069619DD29AB,5,
/07612C314A623A6AB291DF961E2CEC4E,COMPLETED,已完成
/07B5CA944E038A7C1C283888F23071AD,Red Hand Pick Up,捡起红手
/07BF09F641EFD0E37A8502B786CD247B,2,
/07C1D05A4105844129235CBE2C5D4D1F,LS_MetalBlockerCollapse_002,LS_金属阻挡物坍塌_002
/07CD18484369A525947EE5B9763637CD,Moss,苔藓
/07E650704ECAD9EBCEAD5FA21F8216F5,LS_ConsoleRoom,LS_控制台房间
/07E6F2114B6C4E29ACA751A0D8FA08B1,Behind The Scene Photography,幕后摄影
/07F1224B4329C2FEFAFAEEB3A3DD5DA1,"This will remain open for the player zipling from Safe Haven down to NML. 

I promise this is on purpose","这将为从安全庇护所滑索下降到NML的玩家保持开启。 

我保证这是故意为之"
/08047678422AAECABAFEFAAFAA4799F1,Co-Director,联合导演
/08413C444A4F52D7CD68E0BA66DDCFE9,Senior Narrative Director,高级叙事总监
/084C931149A08AB8776EF48E60252431,LS_HandTrap_LN2,LS_手部陷阱_液氮
/084F2EC44B0C16E39B0091816DBA749E,AUDIO,音频
/0866202D4BDCE669B0F53CA56B19D9C3,Dead Guard,死亡守卫
/0876444542907FEE26E273B0F2E78F6F,Doctor Controller,博士控制器
/08777DDD4C8408231C8D8DA8BA185399,"The floor of this tunnel is manmade and part of the larger facility
",这条隧道的地面是人造的，属于更大的设施的一部分
/0891C2954C6D55D7E8ADF093B8495D45,Red Hand,红手
/089CE37043AAF26936734BB2E5E38FE5,End swing tutorial,结束挥击教程
/08C073004971CD3935BF43AAC8DEAA95,%,
/08C823414463B7812694BEB583483055,TransitionToExit,过渡到退出
/08CC4B9B447D152AC4BAD9978ECF53EF,1,
/08CD0E70457A399CE47C6296243A856D,Steam Trigger,蒸汽触发器
/08DF191F4787157A9639DE842B8FBB83,Secondary Lab Instructions,辅助实验室说明
/08F81A684D3C31A60B477A86DDD997A2,"WARNING!
MANUAL ROUTING REQUIRED","警告!
需要手动路由"
/0918F30445718C5D7E4EB79C6A1320BF,Scientist 4:,科学家4:
/092A69BE4A9BC0F93D728185938C7172,LS_Doey05_SqueezeThroughCrack,LS_多伊05_挤过裂缝
/093EBD5F43B4508B3CDF7DB834BCDCAB,MI_Decal_Roughness,MI_贴花_粗糙度
/096B0F2D4DCBA79BBDC99AB225EBB6A0,Notify door,通知门
/09909A3E4739B211B7F6F194CF31AC06,Billowing Steam,汹涌的蒸汽
/09AA8CDA4477819C8490EA9A7E052B7D,Utility Room Key,工具房钥匙
/09B2B7F948C1999B854A2CBC1D8449AC,Room check,房间检查
/09B4D05A4E0FE280A7115397A0A855A4,3#,
/09EE54024E091045957106ACA6E210F6,INTERACT,互动
/0A0F548A4ADFA701CC7C43958D977A61,DESCRIPTION TITLE,说明标题
/0A21D71C41BA78B48A7C47A10D8C8A2C,Your son can live,你的儿子还能活下去
/0A23FD2B45A91AAA332189871EF24D06,HordeSurvivalIntroSequence,尸群生存序幕序列
/0A2940344FCA9DFE6B1091B439935140,%,
/0A32C63540B4831D30A906AE522D0EAA,"Poster about
the dangers of
flammable
objects.","关于
易燃
物品危险的
海报。"
/0A4AF31C4325E1D8B9006BB73328F2D8,Checkpoint,检查点
/0A58B09F40D4D296A655F2A786D0EB45,PitMud,泥坑
/0A6D89F349595C47E29A25A39F7E9F66,Dead Guard,死亡守卫
/0A7011164BF4067F058E27897D4E0D35,FXAA,快速近似抗锯齿
/0AA72AEA47C429A4F6E78FAC2A853F60,03_Environment_I1,03_环境_I1
/0ABAC5E14D3F4BE43CD8B2B8CFEF6990,Start with fade-in effect,淡入效果开始
/0ABEEF23434F409F765A63BD1DB404C7,Rust,铁锈
/0AC73CFC47EC06361D84A2AC2BB7C871,Writer,编剧
/0AEA1C6345EA1E2BEA0FE5A8F5400A86,"Tutorial Message:
“Battery receivers can control power in the surrounding environment. Look around for a battery to insert in this receiver.”","教程提示:
「电池接收器可以控制周围环境的电力。环顾四周，寻找一个可以插入此接收器的电池。」"
/0B0CA02246353AE4A1416D83E041A700,Default Encounter End style (no music),默认遭遇结束样式(无音乐)
/0B184E3E43BBDD226CAAE7BAD50CFE40,Dirty Bricks,脏砖
/0B52D18C4AFF32E6556543B588638D36,Left Leg,左腿
/0B53A58243979544816ED6AC69630C1D,Stop profiling,停止性能分析
/0B566F3F4F497E3335284AB09627948A,SYSTEM,系统
/0B7FA76549820DA82E99F9B9DB4A9653,06_SafeHaven_D,06_安全避难所_D
/0B9E1BA84B7308413ACB93B2D13A3A40,Doctor Dialogue 4,博士对话4
/0BA450A74FFABD090528058E8403C80A,LaunchHands,发射双手
/0BA6BE0946B12D3E7C70C693043245A8,Quake Trigger Section 3,地震触发部分3
/0BEBBB514D57D0BB012CD4B3A01F9704,"Foundation Pillars
and
Explosives","地基支柱
和
炸药"
/0BFB510B4C69AD3EFC14228B5DD5F1C8,3D Character Artist,3D角色艺术家
/0C12074243F817947FF32BAFA35370B6,DistortionStrength,扭曲强度
/0C26B442427CA1FDBD39129789CC851A,Sub-Station 04,4号子站
/0C67E27D4E90F6B432E4D9897846110A,FEED 'EM 4000,"喂饱它们
4000"
/0C7F50BB4302467EB821079F55904497,Long hallway with glass,带玻璃的长走廊
/0C85A78B4B8BA07385D1C7A9BD4E10B4,Pink Color,粉色
/0C9F157E4ECE1EA1D61B86992846C230,"Bell noise rings in the background. Calls back to VO lines that played on the elevator ride up. Creepy.

E True might add a line here. ""Only one path forward""

Note, keep line short so it ends before player enters brain room.","背景中响起铃声。呼应之前电梯上行时播放的配音。诡异。

E True可能会在这里加一句。「只有一条路可走」

注意，台词要短，确保在进入大脑房间前结束。"
/0CA1BD84447455D90798A2851E7CF1E5,Level Design Team,关卡设计团队
/0CADCA5E402615F8C9F9A2A224ABEA03,Respect Player,尊重玩家
/0CC1001343A0CE998827EC8C13D4FDDC,FullyAware,完全感知
/0CC17D1D4A1EB04C7AA19DB07304DEB6,A scientist voices his concerns,一位科学家表达了他的担忧
/0CC9AE144AAF4C7A92CACFB1C8E33935,"Physics
Spline
Door","物理
样条
门"
/0CD7DF6B4D339FE98D89669C39C6DDA7,"Checkpoint for when the player enter the yard from the crawl hole.
Hole will be blocked by some collapsing rocks impeding backtracking","玩家从爬行洞进入院子时的检查点。
洞将被一些坍塌的岩石堵住，无法返回"
/0CDC0E1A49113D3AAA6A39BB5884E94A,MI_FakeGrass,MI_假草
/0CEDBD274F453F450EF770AD6EB821D2,Room check,房间检查
/0CF6CF9946EF7F9ED890E89CF3E5C573,AUDIO,音频
/0D0FBE044C3255CE18FF8FAFD2B660F0,Swing Handle,摆动把手
/0D1615F94C64A123902A92AAA5DE98FA,"Wasn't already scanning, nothing to stop",之前没有扫描，没什么可停止的
/0D1E253146C722A7B536918CA275E3BD,06_SafeHaven_G,06_安全避难所_G
/0D71D2B24DE019193F3627B1AF219FC1,14_Environment_B5,14_环境_B5
/0D7EE5AC4AB562011124AFB2BDD4BB6D,"Air
Filter
Dispenser","空气
过滤器
分配器"
/0D8270A04DBACA143D1FA1AD372A8D11,Playtime.Objectives.Objective7,游戏时间.目标.目标7
/0D89219043E42DC4EDA044949540871D,RESTORE DEFAULT SETTINGS?,恢复默认设置吗?
/0D9E54F4467DA89F9D27C28D7FF8842D,These rocks to be moved 1m away on the X and Y axis,这些岩石在 X 和 Y 轴上移动 1 米
/0D9F295349210C3167FB8A95380298E6,Glimpse of Yarnaby walking throught the corridors and getting closed to the player,瞥见亚娜比走过走廊并逐渐靠近玩家
/0DA19D644460C0557C7187B2D4C5C4A1,02_Environment_A,02_环境_A
/0DAEF60A4F0898DD82ADF4BB7C7362FE,08_Environment_C1,08_环境_C1
/0DBB0AAD4AB7E4BBD66D24B5DA5E94A7,"Prisoner Profile, Experiment 1163",囚犯档案，实验1163
/0DC7FE7A46CA67CFF5029BB7CA29822A,Base default Camera,基础默认摄像机
/0DF0D29049D39BF4704EFE94EA4923F4,DarkDiscoloration,深色污渍
/0E028E164FA15F735F8092A9F99E6B64,06_SafeHaven_D,06_安全避难所_D
/0E13990148CC1A9C6FA1C1B916AFF2DF,LS_YarnabyIntro_Level9,LS_亚娜比介绍_第九关
/0E4C48A64DF187D273312483AA8C9EA6,Bends,弯曲处
/0E55F1194BBB3AB430A4119E70EA8D0E,NonSpecific,非特异性
/0E630D6240B7036D09F19DBA8219DC1B,Doey has destroyed this wall to gain access to an unrelated room beyond the infirmary.,多伊破坏了这堵墙，进入了与医务室无关的另一个房间。
/0E6EADEA4ED89F8C3F7CBB9561C36AC1,AUTO,自动
/0E84A48F413BA96974C5669A3AE7FF1F,"Bait
Dispenser
Hatch","诱饵
分配器
舱口"
/0E8D4EF243913C4A4DFBA2AD768AA520,0,
/0E9EE21D43CFBBAED5CA29A1481E9A1F,Burn Time Remaining: {BurnTime},剩余燃烧时间:{BurnTime}
/0E9FCC3E48C081D561FEDF89EBB0198D,These Double doors will be able to be opened only once the Gear Puzzle is completed. ,这对双开门只有在完成齿轮谜题后才能打开。
/0EA17B4941866E17EB5A149509373A80,LS_Temp_Poppy_EnterGeneratorRoom,LS_临时_Poppy进入发电机房
/0EA354784FC8984BFE9CAC9762AB1CC3,PLACE,摆放
/0EB9A5D24526D50AFEEE4385CF459567,Code,代码
/0EC12BDF4F01FE0B449789B6918B904C,Scattering Called!,散开功能已调用!
/0ECA3DA24945BBF9E26281BBFFBB59D5,Riley Journal: Entry #3,莱利日记:条目#3
/0ECF5C39465FE0A66A9A07A244739F4B,SUCCESS,成功
/0ED70A01457D8C9624B57A9C264A1BD4,Playtime makes big plans,游戏时间制定了大计划
/0F1620D146C1E5AC31280DACA499D2AE,VHS,录像带
/0F18FE6243CDA4026FCC48A7643A97E5,AccessGranted :: Timeline Finished,访问已授予 :: 时间轴完成
/0F2EE2C54ABC1653F5CF89A811D51138,Player crawls under rocks,玩家从岩石下爬过
/0F51C76E4DB86CBBFA2D8AA32D386B89,Room check,房间检查
/0F701094465AFB759ADC66997B2FB43B,"(After either lever is reattached)

Doey compliments player, and kicks down rotted toy body w/ lever

Doey will disappear again","(重新连接任一杠杆后)

多伊称赞玩家，并用杠杆踢开腐烂的玩具身体

多伊会再次消失"
/0F7746054A3EB708B1936A9AB230C958,Bubba Bubbaphant:,布巴·泡泡象:
